date,fund,fund_id,universe,method,portfolio_return,growth_of_1,drawdown
2021-10-28,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.01427100880801565,1.1566952739032503,-0.0023344828357221292
2021-10-29,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.002568854333762844,1.1596666555704596,0.0
2021-11-01,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0034439768531565143,1.1636605206896216,0.0
2021-11-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0060200172386229885,1.170665777084078,0.0
2021-11-03,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.000744190538262354,1.1715369754788516,0.0
2021-11-04,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.007772493249879836,1.1806427387127458,0.0
2021-11-05,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.011379149135993914,1.1672080289126052,-0.011379149135993916
2021-11-08,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.010582342466111713,1.1795598240037537,-0.0009172247230121444
2021-11-09,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0031710055135448236,1.1758194332982819,-0.004085321711903123
2021-11-10,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.007096175007125972,1.1674756128228176,-0.011152506561200926
2021-11-11,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0060799428213112044,1.1745737977940556,-0.0051403703420962454
2021-11-12,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.004292559304654716,1.1796157254787802,-0.0008698763819826594
2021-11-15,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0012699706963058192,1.1811138028830397,0.0
2021-11-16,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,8.842545643313647e-05,1.181218243410159,0.0
2021-11-17,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.010868851747655114,1.1683797574409085,-0.010868851747655062
2021-11-18,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.008558275283205696,1.178379073040413,-0.0024035950897181024
2021-11-19,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.004492760433005597,1.1730848981659752,-0.006885556745807597
2021-11-22,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0041580631185966456,1.177962659216022,-0.0027561242067666303
2021-11-23,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.010193019034085806,1.1899696550228531,0.0
2021-11-24,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.003844740649040807,1.1945447797266444,0.0
2021-11-26,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.02674493567662316,1.1625967564300093,-0.02674493567662317
2021-11-29,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.014661925749149905,1.1796426637489885,-0.012475142188529742
2021-11-30,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.018832413785654246,1.1574271449860563,-0.031072618934454677
2021-12-01,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.007261582230592416,1.1490223925968202,-0.03810856478753477
2021-12-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.022706369011148815,1.1751125190451968,-0.016267502910936926
2021-12-03,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.006574083540156309,1.1673872311759101,-0.022734642527966975
2021-12-06,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.006682237796471078,1.1751879902551914,-0.016204323019085587
2021-12-07,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.02048472902865605,1.1992613977932998,0.0
2021-12-08,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0032060185387551934,1.1954165435191608,-0.003206018538755351
2021-12-09,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.00737649235750171,1.1865985625218607,-0.010558861725007862
2021-12-10,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.005854284187398232,1.193545247723222,-0.004766392114843199
2021-12-13,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.006046819909073103,1.1863280945569097,-0.010784390509181785
2021-12-14,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0028507262894465635,1.1829461978698472,-0.013604373453088181
2021-12-15,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.012501602000533133,1.1977349204236598,-0.001272847914932318
2021-12-16,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0006108444188608436,1.1984665501150753,-0.0006627810081163421
2021-12-17,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.014856621721063024,1.1806613859346682,-0.01550955604245785
2021-12-20,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.009891844003388117,1.1689824676841785,-0.025247981936912245
2021-12-21,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.009633094668383194,1.1802433864610602,-0.01585810346871308
2021-12-22,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.009776761646154836,1.1917823447349405,-0.006236382720332001
2021-12-23,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0016175411088757518,1.1937101016703815,-0.004628929216877076
2021-12-27,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.018753750395287223,1.2160966429614408,0.0
2021-12-28,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.002804985893787468,1.2126855090324518,-0.002804985893787415
2021-12-29,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.001851296905288023,1.214930549962411,-0.0009588818502040963
2021-12-30,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0037392137641458958,1.2103876649275103,-0.004694510150137443
2021-12-31,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0008593832341401898,1.2093474780614615,-0.005549859000962054
2022-01-03,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0014442931305044223,1.2110941303164184,-0.004113581493688123
2022-01-04,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0018816540753693405,1.2088152701104526,-0.0059874952316755214
2022-01-05,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.01021579011525559,1.1964662670228883,-0.01614211835232815
2022-01-06,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.00029814625822159217,1.1968229889634896,-0.015848784806293037
2022-01-07,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.007761581604840704,1.1875337496681,-0.02348735477452224
2022-01-10,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0005191882502763317,1.1869171960984657,-0.023994348666169563
2022-01-11,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.004244945512442501,1.1919555949236846,-0.01985125785642161
2022-01-12,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.004541191440014363,1.1973684934682294,-0.015400214778658272
2022-01-13,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.013458187200708254,1.181254084134904,-0.02865114300594418
2022-01-14,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0019272878489264625,1.178977467492056,-0.030523211855097543
2022-01-18,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.013407107407963638,1.1631707899538208,-0.04352109128328385
2022-01-19,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.010063600640232215,1.151465103647342,-0.05314671304141416
2022-01-20,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.015673714740811192,1.1334173680787751,-0.06798742136260238
2022-01-21,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.012245457539381477,1.119538153823569,-0.07940034182047617
2022-01-24,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0012205970932836789,1.1209046588399463,-0.07827666055362414
2022-01-25,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.00016467048009640695,1.1207200789316327,-0.07842844117844694
