date,fund,fund_id,universe,method,weight_effective_date,portfolio_lagged_sentiment,total_equity_weight,observed_equity_weight,missing_equity_weight,sentiment_weight_coverage,observed_sector_count,missing_sector_count,latest_signal_source_date
2023-08-23,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.04625049047619046,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-22
2023-08-24,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.11842150747955743,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-23
2023-08-25,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.09992447311573287,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-24
2023-08-28,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.08617097204491722,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-25
2023-08-29,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.1374829955895075,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-28
2023-08-30,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.0996397119047619,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-29
2023-08-31,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.1482686100762527,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-30
2023-09-01,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-08-02,0.15092011468253963,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-08-31
2023-09-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.18079600317460315,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-01
2023-09-06,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.13174865197247196,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-05
2023-09-07,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.17399472251082249,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-06
2023-09-08,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.12144021944444443,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-07
2023-09-11,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.1418903276223776,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-08
2023-09-12,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.10509032524685456,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-11
2023-09-13,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.042106038214285685,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-12
2023-09-14,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.11619898690476187,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-13
2023-09-15,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.12596592605820103,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-14
2023-09-18,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.07902578408218124,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-15
2023-09-19,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.12917679499552165,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-18
2023-09-20,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.13082449871794868,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-19
2023-09-21,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.08107872878787878,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-20
2023-09-22,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.11933323273809521,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-21
2023-09-25,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.0847912867063492,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-22
2023-09-26,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.08879584787851036,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-25
2023-09-27,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.1606764964285714,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-26
2023-09-28,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.12006963158730156,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-27
2023-09-29,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.14862095830280825,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-28
2023-10-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-09-05,0.21316034017240063,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-09-29
2023-10-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.20241604757742254,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-02
2023-10-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.19589196072954818,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-03
2023-10-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.11612158801254298,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-04
2023-10-06,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.12709818681318677,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-05
2023-10-09,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.12152533158508154,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-06
2023-10-10,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.09221186252782303,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-09
